offset,entry_date,day_of_week,status,skip_reason,expiry_date,spot_open,base_atm,centre_strike,centre_shift,ce_strike,pe_strike,lot_size,lots,qty,balance_ratio,ce_entry,ce_stop,ce_exit_ts,ce_exit_price,ce_exit_reason,pe_entry,pe_stop,pe_exit_ts,pe_exit_price,pe_exit_reason,margin,gross_pnl,brokerage,net_pnl,remarks
100,2020-03-26,Thursday,TRADED,,2020-03-26,8336.40,8350,8300,-1,8400,8200,75,4,300,0.91,86.15,172.30,2020-03-26T09:29:00+05:30,172.30,sl,94.40,188.80,2020-03-26T15:20:00+05:30,0.45,day_close,325800.00,1740.00,100.00,1640.00,
100,2020-04-01,Wednesday,TRADED,,2020-04-01,8508.15,8500,8450,-1,8550,8350,75,4,300,0.72,53.35,106.70,2020-04-01T15:20:00+05:30,0.05,day_close,38.60,77.20,2020-04-01T09:52:00+05:30,77.20,sl,331650.00,3810.00,100.00,3710.00,
100,2020-04-09,Thursday,TRADED,,2020-04-09,8969.80,8950,8950,0,9050,8850,75,4,300,0.97,47.70,95.40,2020-04-09T15:20:00+05:30,57.70,day_close,46.30,92.60,2020-04-09T15:20:00+05:30,0.15,day_close,351150.00,10245.00,100.00,10145.00,
100,2020-04-16,Thursday,TRADED,,2020-04-16,8830.60,8850,8800,-1,8900,8700,75,4,300,0.72,41.70,83.40,2020-04-16T09:40:00+05:30,83.40,sl,29.90,59.80,2020-04-16T15:20:00+05:30,0.05,day_close,345300.00,-4155.00,100.00,-4255.00,
100,2020-04-23,Thursday,TRADED,,2020-04-23,9219.05,9200,9200,0,9300,9100,75,4,300,0.79,16.90,33.80,2020-04-23T14:43:00+05:30,33.80,sl,21.40,42.80,2020-04-23T15:20:00+05:30,0.15,day_close,360900.00,705.00,100.00,605.00,
100,2020-04-30,Thursday,TRADED,,2020-04-30,9749.40,9750,9750,0,9850,9650,75,4,300,0.44,6.85,13.70,2020-04-30T09:30:00+05:30,13.70,sl,15.45,30.90,2020-04-30T15:20:00+05:30,0.10,day_close,382350.00,1950.00,100.00,1850.00,
100,2020-05-07,Thursday,TRADED,,2020-05-07,9211.00,9200,9200,0,9300,9100,75,4,300,0.76,18.00,36.00,2020-05-07T15:20:00+05:30,0.05,day_close,23.55,47.10,2020-05-07T15:20:00+05:30,0.05,day_close,360900.00,11835.00,100.00,11735.00,
100,2020-05-14,Thursday,TRADED,,2020-05-14,9237.85,9250,9250,0,9350,9150,75,4,300,0.88,12.65,25.30,2020-05-14T15:20:00+05:30,0.05,day_close,14.45,28.90,2020-05-14T14:15:00+05:30,28.90,sl,362850.00,-1155.00,100.00,-1255.00,
100,2020-05-21,Thursday,TRADED,,2020-05-21,9100.80,9100,9100,0,9200,9000,75,4,300,0.69,5.55,11.10,2020-05-21T15:20:00+05:30,0.05,day_close,8.05,16.10,2020-05-21T15:20:00+05:30,0.05,day_close,357000.00,3450.00,100.00,3350.00,
100,2020-05-28,Thursday,TRADED,,2020-05-28,9386.15,9400,9400,0,9500,9300,75,4,300,0.42,5.00,10.00,2020-05-28T11:09:00+05:30,10.00,sl,12.00,24.00,2020-05-28T15:20:00+05:30,0.10,day_close,368700.00,1470.00,100.00,1370.00,
100,2020-06-04,Thursday,TRADED,,2020-06-04,10109.00,10100,10100,0,10200,10000,75,4,300,0.71,10.00,20.00,2020-06-04T15:20:00+05:30,0.10,day_close,14.10,28.20,2020-06-04T09:34:00+05:30,28.20,sl,396000.00,-1860.00,100.00,-1960.00,
100,2020-06-11,Thursday,TRADED,,2020-06-11,10059.90,10050,10050,0,10150,9950,75,4,300,0.84,13.95,27.90,2020-06-11T15:20:00+05:30,0.10,day_close,11.65,23.30,2020-06-11T12:33:00+05:30,23.30,sl,394050.00,60.00,100.00,-40.00,
100,2020-06-18,Thursday,TRADED,,2020-06-18,9867.05,9850,9850,0,9950,9750,75,4,300,0.58,9.40,18.80,2020-06-18T10:22:00+05:30,18.80,sl,16.25,32.50,2020-06-18T15:20:00+05:30,0.10,day_close,386250.00,1425.00,100.00,1325.00,
100,2020-06-25,Thursday,TRADED,,2020-06-25,10220.80,10200,10200,0,10300,10100,75,4,300,0.65,13.40,26.80,2020-06-25T09:39:00+05:30,26.80,sl,20.50,41.00,2020-06-25T15:20:00+05:30,0.05,day_close,399900.00,1515.00,100.00,1415.00,
