entry_date,status,skip_reason,expiry_date,trades,ce_trades,pe_trades,stopped_trades,day_close_trades,skipped_signals,orders_executed,gross_pnl,brokerage,net_pnl,max_consec_sl_in_day,remarks
2024-08-28,TRADED,,2024-08-29,3,2,1,3,0,0,6,-5160.00,150.00,-5310.00,3,
2024-08-29,TRADED,,2024-08-29,8,3,5,7,1,0,16,-47280.00,400.00,-47680.00,7,
2024-08-30,SKIPPED,random_skip,2024-09-05,0,0,0,0,0,1,0,0.00,0.00,0.00,0,Day randomly skipped (human participation model).
2024-09-02,SKIPPED,random_skip,2024-09-05,0,0,0,0,0,1,0,0.00,0.00,0.00,0,Day randomly skipped (human participation model).
2024-09-03,SKIPPED,random_skip,2024-09-05,0,0,0,0,0,1,0,0.00,0.00,0.00,0,Day randomly skipped (human participation model).
2024-09-04,SKIPPED,random_skip,2024-09-05,0,0,0,0,0,1,0,0.00,0.00,0.00,0,Day randomly skipped (human participation model).
2024-09-05,TRADED,,2024-09-05,7,1,6,6,1,0,14,-5730.00,350.00,-6080.00,6,
2024-09-06,SKIPPED,random_skip,2024-09-12,0,0,0,0,0,1,0,0.00,0.00,0.00,0,Day randomly skipped (human participation model).
2024-09-09,TRADED,,2024-09-12,5,2,3,4,1,0,10,-6465.00,250.00,-6715.00,4,
2024-09-10,SKIPPED,random_skip,2024-09-12,0,0,0,0,0,1,0,0.00,0.00,0.00,0,Day randomly skipped (human participation model).
2024-09-11,SKIPPED,random_skip,2024-09-12,0,0,0,0,0,1,0,0.00,0.00,0.00,0,Day randomly skipped (human participation model).
2024-09-12,TRADED,,2024-09-12,16,8,8,15,1,0,32,-32520.00,800.00,-33320.00,15,
2024-09-13,SKIPPED,random_skip,2024-09-19,0,0,0,0,0,1,0,0.00,0.00,0.00,0,Day randomly skipped (human participation model).
2024-09-16,TRADED,,2024-09-19,8,4,4,8,0,0,16,-27375.00,400.00,-27775.00,8,
2024-09-17,TRADED,,2024-09-19,5,3,2,4,1,0,10,-10005.00,250.00,-10255.00,4,
2024-09-18,SKIPPED,random_skip,2024-09-19,0,0,0,0,0,1,0,0.00,0.00,0.00,0,Day randomly skipped (human participation model).
2024-09-19,TRADED,,2024-09-19,8,5,3,7,1,0,16,-29055.00,400.00,-29455.00,7,
2024-09-20,TRADED,,2024-09-26,5,2,3,4,1,0,10,1305.00,250.00,1055.00,4,
2024-09-23,TRADED,,2024-09-26,1,0,1,0,1,0,2,8205.00,50.00,8155.00,0,
2024-09-24,TRADED,,2024-09-26,4,2,2,4,0,0,8,-1095.00,200.00,-1295.00,4,
2024-09-25,TRADED,,2024-09-26,4,2,2,3,1,0,8,4845.00,200.00,4645.00,3,
2024-09-26,SKIPPED,random_skip,2024-09-26,0,0,0,0,0,1,0,0.00,0.00,0.00,0,Day randomly skipped (human participation model).
2024-09-27,TRADED,,2024-10-03,5,3,2,4,1,0,10,-12675.00,250.00,-12925.00,4,
2024-09-30,TRADED,,2024-10-03,1,1,0,0,1,0,2,29175.00,50.00,29125.00,0,
2024-10-01,TRADED,,2024-10-03,6,5,1,6,0,0,12,7110.00,300.00,6810.00,6,
2024-10-03,TRADED,,2024-10-03,2,1,1,1,1,0,4,37755.00,100.00,37655.00,1,
2024-10-04,SKIPPED,random_skip,2024-10-10,0,0,0,0,0,1,0,0.00,0.00,0.00,0,Day randomly skipped (human participation model).
2024-10-07,TRADED,,2024-10-10,2,2,0,1,1,0,4,32025.00,100.00,31925.00,1,
2024-10-08,TRADED,,2024-10-10,3,2,1,2,1,0,6,10950.00,150.00,10800.00,2,
2024-10-09,SKIPPED,random_skip,2024-10-10,0,0,0,0,0,1,0,0.00,0.00,0.00,0,Day randomly skipped (human participation model).
2024-10-10,TRADED,,2024-10-10,6,5,1,5,1,0,12,7605.00,300.00,7305.00,5,
2024-10-11,SKIPPED,random_skip,2024-10-17,0,0,0,0,0,1,0,0.00,0.00,0.00,0,Day randomly skipped (human participation model).
2024-10-14,TRADED,,2024-10-17,1,0,1,0,1,0,2,12870.00,50.00,12820.00,0,
2024-10-15,TRADED,,2024-10-17,2,1,1,1,1,0,4,-3825.00,100.00,-3925.00,1,
2024-10-16,SKIPPED,random_skip,2024-10-17,0,0,0,0,0,1,0,0.00,0.00,0.00,0,Day randomly skipped (human participation model).
2024-10-17,TRADED,,2024-10-17,1,1,0,0,1,0,2,18855.00,50.00,18805.00,0,
2024-10-18,SKIPPED,random_skip,2024-10-24,0,0,0,0,0,1,0,0.00,0.00,0.00,0,Day randomly skipped (human participation model).
2024-10-21,SKIPPED,random_skip,2024-10-24,0,0,0,0,0,1,0,0.00,0.00,0.00,0,Day randomly skipped (human participation model).
