date,net_pnl,equity,peak,drawdown,drawdown_pct
2024-01-25,-14706.65,5359979.33,5402933.02,42953.70,0.80
2024-02-01,4149.29,5364128.61,5402933.02,38804.41,0.72
2024-02-08,16348.52,5380477.13,5402933.02,22455.89,0.42
2024-02-15,34411.62,5414888.75,5414888.75,0.00,0.00
2024-02-22,4226.97,5419115.72,5419115.72,0.00,0.00
2024-02-29,21209.53,5440325.25,5440325.25,0.00,0.00
2024-03-07,20240.04,5460565.29,5460565.29,0.00,0.00
2024-03-14,54009.62,5514574.91,5514574.91,0.00,0.00
2024-03-21,-2131.84,5512443.07,5514574.91,2131.84,0.04
2024-03-28,24676.07,5537119.14,5537119.14,0.00,0.00
2024-04-04,6487.74,5543606.88,5543606.88,0.00,0.00
2024-04-25,29948.53,5573555.41,5573555.41,0.00,0.00
2024-05-09,10214.64,5583770.05,5583770.05,0.00,0.00
2024-05-16,-56521.57,5527248.48,5583770.05,56521.57,1.01
2024-05-23,-6469.08,5520779.40,5583770.05,62990.65,1.13
2024-05-30,25056.61,5545836.01,5583770.05,37934.04,0.68
2024-06-06,-105094.28,5440741.73,5583770.05,143028.32,2.56
2024-06-13,87590.38,5528332.11,5583770.05,55437.94,0.99
2024-06-20,16459.01,5544791.13,5583770.05,38978.92,0.70
2024-06-27,-8254.69,5536536.44,5583770.05,47233.61,0.85
2024-07-04,54221.57,5590758.01,5590758.01,0.00,0.00
2024-07-11,4027.97,5594785.98,5594785.98,0.00,0.00
2024-07-18,10437.17,5605223.15,5605223.15,0.00,0.00
2024-07-25,17446.21,5622669.37,5622669.37,0.00,0.00
2024-08-01,54666.28,5677335.64,5677335.64,0.00,0.00
2024-08-08,-58316.85,5619018.79,5677335.64,58316.85,1.03
2024-08-14,57906.22,5676925.01,5677335.64,410.63,0.01
2024-08-22,32149.42,5709074.43,5709074.43,0.00,0.00
2024-08-29,6234.66,5715309.09,5715309.09,0.00,0.00
2024-09-05,37687.97,5752997.06,5752997.06,0.00,0.00
2024-09-12,-60362.78,5692634.28,5752997.06,60362.78,1.05
2024-09-19,22255.70,5714889.98,5752997.06,38107.08,0.66
2024-09-26,-56842.25,5658047.73,5752997.06,94949.33,1.65
2024-10-03,-31376.80,5626670.93,5752997.06,126326.13,2.20
2024-10-10,-29876.76,5596794.16,5752997.06,156202.90,2.72
